File: run   12.05.20  04:18:51
Comment: run
                    P1Y374-L                                P1Y373-R                                
Time[secs]          Force[N]            Time[secs]          Force[N]            
       1.220         914.550                   1.220           0.000            
       1.225         946.400                   1.225           0.000            
       1.230         978.250                   1.230           0.000            
       1.235        1001.000                   1.235           0.000            
       1.240        1028.300                   1.240           0.000            
       1.245        1051.050                   1.245           0.000            
       1.250        1069.250                   1.250           0.000            
       1.255        1078.350                   1.255           0.000            
       1.260        1101.100                   1.260           0.000            
       1.265        1114.750                   1.265           0.000            
       1.270        1137.500                   1.270           0.000            
       1.275        1157.760                   1.275           0.000            
       1.280        1168.480                   1.280           0.000            
       1.285        1184.560                   1.285           0.000            
       1.290        1200.640                   1.290           0.000            
       1.295        1216.720                   1.295           0.000            
       1.300        1232.800                   1.300           0.000            
       1.305        1254.240                   1.305           0.000            
       1.310        1259.600                   1.310           0.000            
       1.315        1275.680                   1.315           0.000            
       1.320        1281.040                   1.320           0.000            
       1.325        1302.480                   1.325           0.000            
       1.330        1307.840                   1.330           0.000            
       1.335        1318.560                   1.335           0.000            
       1.340        1329.280                   1.340           0.000            
       1.345        1340.000                   1.345           0.000            
       1.350        1349.580                   1.350           0.000            
       1.355        1344.160                   1.355           0.000            
       1.360        1355.000                   1.360           0.000            
       1.365        1344.160                   1.365           0.000            
       1.370        1355.000                   1.370           0.000            
       1.375        1333.320                   1.375           0.000            
       1.380        1322.480                   1.380           0.000            
       1.385        1306.220                   1.385           0.000            
       1.390        1279.120                   1.390           0.000            
       1.395        1257.440                   1.395           0.000            
       1.400        1241.180                   1.400           0.000            
       1.405        1203.240                   1.405           0.000            
       1.410        1159.880                   1.410           0.000            
       1.415        1127.360                   1.415           0.000            
       1.420        1078.580                   1.420           0.000            
       1.425        1042.500                   1.425           0.000            
       1.430         984.120                   1.430           0.000            
       1.435         934.080                   1.435           0.000            
       1.440         871.530                   1.440           0.000            
       1.445         813.150                   1.445           0.000            
       1.450         754.770                   1.450           0.000            
       1.455         683.880                   1.455           0.000            
       1.460         621.330                   1.460           0.000            
       1.465         558.780                   1.465           0.000            
       1.470         496.230                   1.470           0.000            
       1.475         433.680                   1.475           0.000            
       1.480         371.130                   1.480           0.000            
       1.485         321.090                   1.485           0.000            
       1.490         275.220                   1.490           0.000            
       1.495         229.350                   1.495           0.000            
       1.500         182.500                   1.500           0.000            
       1.505         139.430                   1.505           0.000            
       1.510         112.420                   1.510           0.000            
       1.515          84.680                   1.515           0.000            
       1.520          59.860                   1.520           0.000            
       1.525          27.010                   1.525           0.000            
       1.530           9.490                   1.530           0.000            
       1.535           7.300                   1.535           0.000            
       1.540           2.190                   1.540           0.000            
       1.545           0.000                   1.545           0.000            
       1.550           0.000                   1.550           0.000            
       1.555           0.000                   1.555           0.000            
       1.560           0.000                   1.560           0.000            
       1.565           0.000                   1.565           0.000            
       1.570           0.000                   1.570           0.000            
       1.575           0.000                   1.575           0.000            
       1.580           0.000                   1.580           0.000            
       1.585           0.000                   1.585           0.000            
       1.590           0.000                   1.590           0.000            
       1.595           0.000                   1.595           0.000            
       1.600           0.000                   1.600           0.000            
       1.605           0.000                   1.605           0.000            
       1.610           0.000                   1.610           0.000            
       1.615           0.000                   1.615           0.000            
       1.620           0.000                   1.620           0.000            
       1.625           0.000                   1.625           0.000            
       1.630           0.000                   1.630           0.000            
       1.635           0.000                   1.635          42.240            
       1.640           0.000                   1.640         104.940            
       1.645           0.000                   1.645         165.000            
       1.650           0.000                   1.650         245.960            
       1.655           0.000                   1.655         350.020            
       1.660           0.000                   1.660         463.540            
       1.665           2.500                   1.665         539.220            
       1.670           2.500                   1.670         586.520            
       1.675           2.500                   1.675         600.710            
       1.680           0.000                   1.680         595.980            
       1.685           2.500                   1.685         643.280            
       1.690           5.000                   1.690         718.960            
       1.695           0.000                   1.695         823.020            
       1.700           0.000                   1.700         889.240            
       1.705           2.500                   1.705         950.730            
       1.710           2.500                   1.710        1021.680            
       1.715           0.000                   1.715        1102.090            
       1.720           0.000                   1.720        1182.500            
       1.725           7.500                   1.725        1254.000            
       1.730           2.490                   1.730        1313.400            
       1.735           4.980                   1.735        1366.200            
       1.740           2.490                   1.740        1419.000            
       1.745           2.490                   1.745        1465.200            
       1.750           2.490                   1.750        1504.800            
       1.755           4.980                   1.755        1544.400            
       1.760           4.980                   1.760        1577.400            
       1.765           2.490                   1.765        1603.800            
       1.770           2.490                   1.770        1623.600            
       1.775           4.980                   1.775        1636.800            
       1.780           4.980                   1.780        1650.000            
       1.785           4.980                   1.785        1650.000            
       1.790           7.500                   1.790        1630.200            
       1.795           2.490                   1.795        1623.600            
       1.800           7.480                   1.800        1620.000            
       1.805           7.480                   1.805        1594.080            
       1.810           5.000                   1.810        1561.680            
       1.815           7.480                   1.815        1529.280            
       1.820           2.480                   1.820        1496.880            
       1.825           7.480                   1.825        1464.480            
       1.830          10.000                   1.830        1425.600            
       1.835           5.000                   1.835        1393.200            
       1.840           5.000                   1.840        1354.320            
       1.845           5.000                   1.845        1308.960            
       1.850           5.000                   1.850        1276.560            
       1.855           5.000                   1.855        1244.160            
       1.860           5.000                   1.860        1192.320            
       1.865           2.480                   1.865        1153.440            
       1.870           0.000                   1.870        1101.600            
       1.875           7.500                   1.875        1055.000            
       1.880           0.000                   1.880         995.920            
       1.885           0.000                   1.885         928.400            
       1.890           0.000                   1.890         844.000            
       1.895           2.500                   1.895         759.600            
       1.900           2.500                   1.900         679.420            
       1.905           2.500                   1.905         595.020            
       1.910           5.000                   1.910         510.620            
       1.915           0.000                   1.915         434.660            
       1.920           2.500                   1.920         358.700            
       1.925           5.000                   1.925         286.960            
       1.930           5.000                   1.930         227.880            
       1.935          12.500                   1.935         168.800            
       1.940           7.500                   1.940         118.160            
       1.945           7.500                   1.945          75.960            
       1.950          17.490                   1.950          62.500            
       1.955          14.960                   1.955           7.500            
       1.960          17.490                   1.960           0.000            
       1.965          19.910                   1.965           0.000            
       1.970          17.490                   1.970           0.000            
